2025-04-24 10:54:52.408 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.9ms, Max Diff: 40.9ms, Min Diff: 0.0ms
2025-04-24 10:54:57.615 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.5ms, Max Diff: 44.8ms, Min Diff: 0.0ms
2025-04-24 10:55:02.624 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.6ms, Max Diff: 44.8ms, Min Diff: 0.0ms
2025-04-24 10:55:07.684 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 5.8ms, Max Diff: 44.8ms, Min Diff: 0.2ms
2025-04-24 10:55:12.752 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 6.7ms, Max Diff: 44.8ms, Min Diff: 0.2ms
2025-04-24 10:55:17.764 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 7.4ms, Max Diff: 93.1ms, Min Diff: 0.2ms
2025-04-24 10:55:22.802 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 7.8ms, Max Diff: 93.1ms, Min Diff: 0.1ms
2025-04-24 10:55:27.905 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 9.0ms, Max Diff: 93.1ms, Min Diff: 0.1ms
2025-04-24 10:55:33.104 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 9.4ms, Max Diff: 93.1ms, Min Diff: 0.1ms
2025-04-24 10:55:38.197 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 9.3ms, Max Diff: 64.2ms, Min Diff: 0.1ms
2025-04-24 10:55:43.213 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 12.8ms, Max Diff: 89.3ms, Min Diff: 0.1ms
2025-04-24 10:55:48.439 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 13.9ms, Max Diff: 89.3ms, Min Diff: 0.1ms
2025-04-24 10:55:53.612 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 14.9ms, Max Diff: 89.3ms, Min Diff: 0.1ms
2025-04-24 10:55:58.812 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 14.9ms, Max Diff: 89.3ms, Min Diff: 0.1ms
2025-04-24 10:57:50.246 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.5ms, Max Diff: 26.9ms, Min Diff: 0.2ms
2025-04-24 10:57:53.844 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 3.7ms, Max Diff: 26.9ms, Min Diff: 0.0ms
2025-04-24 10:57:59.075 - INFO - sync [MainThread] - Sync Success Rate: 100.0%, Avg Diff: 4.1ms, Max Diff: 37.3ms, Min Diff: 0.0ms
