2025-04-24 11:03:51.196 - INFO - sensor [/livox/imu] - IMU stats: rate=224.63Hz, interval=5.4ms, dropped=9442
2025-04-24 11:03:51.198 - INFO - sensor [/livox/imu] - IMU stats: rate=223.80Hz, interval=5.4ms, dropped=9442
2025-04-24 11:03:51.200 - INFO - sensor [/livox/imu] - IMU stats: rate=222.91Hz, interval=5.3ms, dropped=9442
2025-04-24 11:03:51.201 - INFO - sensor [/livox/imu] - IMU stats: rate=227.09Hz, interval=5.3ms, dropped=9442
2025-04-24 11:03:51.202 - INFO - sensor [/livox/imu] - IMU stats: rate=231.70Hz, interval=5.2ms, dropped=9442
2025-04-24 11:03:51.204 - INFO - sensor [/livox/imu] - IMU stats: rate=236.44Hz, interval=5.2ms, dropped=9442
2025-04-24 11:03:51.205 - INFO - sensor [/livox/imu] - IMU stats: rate=241.36Hz, interval=5.2ms, dropped=9442
2025-04-24 11:03:51.207 - INFO - sensor [/livox/imu] - IMU stats: rate=246.37Hz, interval=5.1ms, dropped=9442
2025-04-24 11:03:51.239 - INFO - sensor [/livox/imu] - IMU stats: rate=245.48Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.243 - INFO - sensor [/livox/imu] - IMU stats: rate=244.48Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.245 - INFO - sensor [/livox/imu] - IMU stats: rate=243.50Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.248 - INFO - sensor [/livox/imu] - IMU stats: rate=242.47Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.254 - INFO - sensor [/livox/imu] - IMU stats: rate=243.43Hz, interval=5.3ms, dropped=9444
2025-04-24 11:03:51.259 - INFO - sensor [/livox/imu] - IMU stats: rate=244.09Hz, interval=5.4ms, dropped=9444
2025-04-24 11:03:51.274 - INFO - sensor [/livox/imu] - IMU stats: rate=243.50Hz, interval=5.5ms, dropped=9444
2025-04-24 11:03:51.279 - INFO - sensor [/livox/imu] - IMU stats: rate=242.87Hz, interval=5.5ms, dropped=9444
